0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
15329,4 colors:,White,201 Red,560 Green,Black,,,,,,,,,
15249,6 colors:,White,Yellow 115,Teal 339,Green 368,Red 206,Black,,,,,,,
15144,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15146,4 colors:,White,368 Green,Black,2925 Blue,,,,,,,,,
15147,4 colors:,White,368 Green,Black,368 Green,,,,,,,,,
15148,4 colors:,White,368 Green,Black,218 Pink,,,,,,,,,
15225,6 colors:,White,368 Green,Process Magenta,Pantone Yellow,877 Metallic Silver,Black,,,,,,,
15263,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15335,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15099,3 colors:,White,2592 Purple,2768 Purple,,,,,,,,,,
14914,3 colors:,White,167 Orange,2735 Blue,,,,,,,,,,
15330,6 colors:,White,1795 Red,348 Green,375 Green,175 Brown,Black,,,,,,,
15331,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15124,4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,
15305,4 colors:,White,187 Red,Black Halftone,Black Solid,,,,,,,,,
15270,5 colors:,White,187 Red,288 Blue,274 Purple (solid),274 Purple (halftone),,,,,,,,
15332,4 colors:,White,116 Yellow,282 Purple,376 Green,,,,,,,,,
15332,4 colors:,White,116 Yellow,282 Purple,376 Green,,,,,,,,,
15055,4 colors:,White,376 Green,382 Green,Black,,,,,,,,,
15289,5 colors:,White,123 Yellow,1665 Red,370 Green,Black,,,,,,,,
15334,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15333,3 colors:,White,294 Blue,187 Red,,,,,,,,,,
15313,6 colors:,White,Process Cyan,Process Magenta,Process Yellow,Black (combo),1788 Red,,,,,,,
15314,2 colors:,White,Black,,,,,,,,,,,
4 colors:,White,368 Green,Black,151 Orange,,,,,,,,,,
15189,2 colors:,White,072 Blue,,,,,,,,,,,
15230,4 colors:,White,1805 Red,072 Blue,Black,,,,,,,,,
15296,2 colors:,White,072 Blue,,,,,,,,,,,
15335,3 colors:,White,281 Blue,356 Green,,,,,,,,,,
15292,5 colors:,White,1205 Yellow,187 Red,370 Green,Black,,,,,,,,
15302,5 colors:,White,166 Orange,188 Brown,371 Green,Black,,,,,,,,
15303,4 colors:,White,382 Green,349 Green,Black,,,,,,,,,
15294,5 colors:,White,730 Brown,610 Yellow,612 Yellow,Black,,,,,,,,
15175,3 colors:,White,208 Red,Black,,,,,,,,,,
